id,name,salary,area_name,published_at
82,Менеджер по развитию бизнеса (Руководитель проекта платежных систем).,,Москва,2003-10-03T00:00:00+0400
83,Applications Engineer   (Job# 257161),,Нижний Новгород,2003-07-16T11:17:11+0400
84,Консультант по внедрению (Oracle E-Business Suite),61228.0,Москва,2003-10-27T00:00:00+0300
85,"Консультант-разработчик (Developer 2000/6i (Forms, Reports)",30380.0,Москва,2003-07-16T18:31:53+0400
86,Install Engineer   (Job# 220879),,Нижний Новгород,2003-07-16T20:32:37+0400
87,Intel Tools Business Development Manager   (Job# 257157),,Нижний Новгород,2003-07-16T20:36:55+0400
88,Release Manager   (Job# 260050),,Нижний Новгород,2003-07-16T20:41:57+0400
89,НАЧАЛЬНИК ПРОЕКТНОГО ОТДЕЛА (СЛАБОТОЧНЫЕ СИСТЕМЫ),,Санкт-Петербург,2003-07-17T10:07:35+0400
90,"БИЗНЕС АНАЛИТИК ИНФОРМАЦИОННЫХ СИСТЕМ, АРХИТЕКТОР БАЗ ДАННЫХ",30380.0,Москва,2003-07-17T11:25:13+0400
91,Главный специалист отдела эксплуатации и технического обслуживания,,Москва,2003-10-06T00:00:00+0400
92,Специалист отдела эксплуатации и технического обслуживания Управления информационной техники и связи,,Москва,2003-10-06T00:00:00+0400
93,Системный администратор,24304.0,Москва,2003-07-17T15:47:04+0400
94,Специалист отдела труда и заработной платы.,36737.0,Москва,2003-10-06T00:00:00+0400
95,Business Development Manager,,Москва,2003-10-06T00:00:00+0400
96,Pre-Sales Manager,,Москва,2003-10-06T00:00:00+0400
97,Sales Manager,,Москва,2003-10-06T00:00:00+0400
98,Sales Manager (Oil and Gas),,Москва,2003-10-06T00:00:00+0400
99,Sales Manager (Government),,Москва,2003-10-06T00:00:00+0400
100,Senior CAD Engineer   (Job# 253952),,Москва,2003-07-17T20:03:13+0400
